,Time,Freq,Angle1,Angle2,Phase
274,254.74,0.963,-0.306,0.961,-1.267
275,255.78,0.9632,-0.306,0.961,-1.267
276,256.82,0.9623,-0.305,0.961,-1.266
277,257.86,0.9608,-0.308,0.963,-1.271
278,258.9,0.9605,-0.313,0.961,-1.274
279,259.94,0.9588,-0.314,0.963,-1.277
280,260.98,0.9582,-0.319,0.963,-1.282
281,262.02,0.9563,-0.325,0.961,-1.286
282,263.08,0.9549,-0.309,0.961,-1.27
283,264.12,0.9534,-0.324,0.961,-1.285
284,265.18,0.952,-0.313,0.963,-1.276
285,266.22,0.9503,-0.33,0.961,-1.291
286,267.28,0.9476,-0.325,0.961,-1.286
287,268.34,0.9467,-0.322,0.963,-1.285
288,269.4,0.946,-0.317,0.961,-1.278
289,270.46,0.9452,-0.314,0.961,-1.275
290,271.52,0.9443,-0.313,0.961,-1.274
291,272.58,0.9434,-0.313,0.963,-1.276
292,273.64,0.9423,-0.316,0.961,-1.277
293,274.7,0.9411,-0.319,0.961,-1.28
294,275.76,0.9389,-0.32,0.961,-1.281
295,276.82,0.9377,-0.327,0.961,-1.288
296,277.9,0.9358,-0.309,0.961,-1.27
297,278.96,0.9341,-0.322,0.961,-1.283
298,280.04,0.9324,-0.309,0.961,-1.27
299,281.1,0.9308,-0.331,0.961,-1.292
300,282.2,0.9283,-0.327,0.961,-1.288
301,283.28,0.9275,-0.331,0.961,-1.292
302,284.36,0.9257,-0.328,0.961,-1.289
303,285.44,0.9245,-0.328,0.961,-1.289
304,286.52,0.9243,-0.325,0.961,-1.286
305,287.6,0.923,-0.327,0.961,-1.288
306,288.68,0.9222,-0.331,0.961,-1.292
307,289.76,0.9216,-0.335,0.961,-1.296
308,290.86,0.9211,-0.313,0.961,-1.274
309,291.94,0.9198,-0.322,0.961,-1.283
310,293.02,0.9194,-0.335,0.961,-1.296
311,294.12,0.9197,-0.322,0.961,-1.283
312,295.2,0.9178,-0.336,0.961,-1.297
313,296.3,0.9172,-0.322,0.963,-1.285
314,297.4,0.9151,-0.313,0.961,-1.274
315,298.48,0.9158,-0.335,0.961,-1.296
316,299.58,0.9145,-0.327,0.963,-1.29
317,300.68,0.9134,-0.317,0.963,-1.28
318,301.76,0.913,-0.338,0.961,-1.299
319,302.86,0.9112,-0.333,0.961,-1.294
320,303.96,0.9095,-0.335,0.961,-1.296
321,305.06,0.9077,-0.335,0.961,-1.296
322,306.16,0.9057,-0.339,0.961,-1.3
323,307.28,0.9043,-0.317,0.963,-1.28
324,308.38,0.9034,-0.325,0.963,-1.288
325,309.48,0.9012,-0.338,0.961,-1.299
326,310.6,0.9012,-0.325,0.963,-1.288
327,311.72,0.899,-0.316,0.963,-1.279
328,312.84,0.8989,-0.306,0.961,-1.267
329,313.94,0.8981,-0.328,0.961,-1.289
330,315.06,0.8964,-0.317,0.963,-1.28
331,316.18,0.8959,-0.309,0.961,-1.27
332,317.28,0.8959,-0.336,0.961,-1.297
333,318.4,0.8944,-0.33,0.961,-1.291
334,319.52,0.8934,-0.331,0.961,-1.292
335,320.64,0.8917,-0.333,0.961,-1.294
336,321.76,0.8908,-0.338,0.961,-1.299
337,322.9,0.8887,-0.314,0.961,-1.275
338,324.02,0.8886,-0.325,0.961,-1.286
339,325.16,0.8864,-0.308,0.963,-1.271
340,326.28,0.884,-0.324,0.963,-1.287
341,327.42,0.8826,-0.308,0.961,-1.269
342,328.54,0.8815,-0.328,0.961,-1.289
343,329.68,0.8809,-0.32,0.963,-1.283
344,330.82,0.8791,-0.319,0.963,-1.282
345,331.96,0.8781,-0.317,0.963,-1.28
346,333.1,0.8774,-0.32,0.963,-1.283
347,334.24,0.8752,-0.325,0.961,-1.286
348,335.38,0.873,-0.333,0.961,-1.294
349,336.54,0.872,-0.317,0.963,-1.28
350,337.68,0.8698,-0.331,0.961,-1.292
351,338.84,0.8679,-0.309,0.963,-1.272
352,339.98,0.8673,-0.328,0.961,-1.289
353,341.14,0.8665,-0.317,0.963,-1.28
354,342.3,0.8656,-0.308,0.963,-1.271
355,343.46,0.8634,-0.303,0.963,-1.266
356,344.62,0.8634,-0.305,0.963,-1.268
357,345.78,0.862,-0.306,0.961,-1.267
358,346.94,0.8611,-0.306,0.961,-1.267
359,348.1,0.8596,-0.314,0.961,-1.275
360,349.26,0.859,-0.32,0.961,-1.281
361,350.42,0.8574,-0.328,0.961,-1.289
362,351.6,0.856,-0.306,0.963,-1.269
363,352.76,0.8543,-0.327,0.961,-1.288
364,353.94,0.8537,-0.319,0.963,-1.282
365,355.12,0.852,-0.309,0.961,-1.27
366,356.3,0.8512,-0.302,0.961,-1.263
367,357.46,0.8491,-0.33,0.961,-1.291
368,358.64,0.8475,-0.328,0.961,-1.289
369,359.84,0.8454,-0.297,0.961,-1.258
370,361.02,0.8445,-0.309,0.961,-1.27
