"Time (s) Run #16","Angle, Ch P1 (rad) Run #16","Angle, Ch P2 (rad) Run #16","AngleAmp (rad) Run #16","DrivingFrequency (Hz) Run #16","freq (Hz) Run #16","AngVel (rad/s) Run #16","DriverAngleVel (rad/s) Run #16"
6.100,-0.079,0.319,,,,1.2174,-5.6025
6.120,-0.055,0.209,,,,1.1257,-5.2753
6.140,-0.033,0.107,,,,1.0210,-4.8171
6.160,-0.014,0.014,,,,0.8770,-4.2673
6.180,0.003,-0.064,,,,0.7069,-3.6128
6.200,0.014,-0.132,,,,0.5236,-2.9060
6.220,0.024,-0.181,,,,0.3403,-2.1337
6.240,0.028,-0.218,,,,0.1440,-1.3090
6.260,0.030,-0.234,0.1576,,,-0.0785,-0.4581
6.280,0.025,-0.236,,,,-0.2880,0.4058
6.300,0.017,-0.218,,,,-0.4843,1.2435
6.320,0.006,-0.185,,,,-0.6545,2.0682
6.340,-0.009,-0.135,,,,-0.8247,2.8405
6.360,-0.027,-0.071,,,,-0.9687,3.5605
6.380,-0.049,0.008,,,,-1.0865,4.2150
6.400,-0.071,0.099,,,,-1.1912,4.8040
6.420,-0.096,0.201,,,,-1.2697,5.2884
6.440,-0.123,0.313,,,,-1.3221,5.6287
6.460,-0.149,0.429,,,,-1.3221,5.8250
6.480,-0.176,0.547,,,,-1.2828,5.9036
6.500,-0.201,0.666,,,,-1.2174,5.8643
6.520,-0.225,0.784,,,,-1.1388,5.6680
6.540,-0.247,0.895,,,,-1.0341,5.3014
6.560,-0.267,0.997,,,,-0.8901,4.7909
6.580,-0.283,1.089,,,,-0.7199,4.1495
6.600,-0.295,1.166,,,,-0.5367,3.3772
6.620,-0.305,1.225,,,,-0.3403,2.5002
6.640,-0.309,1.266,,,,-0.1309,1.5446
6.660,-0.309,1.288,,1.2500,1.2526,0.0785,0.5498
6.680,-0.306,1.288,,,,0.2880,-0.4712
6.700,-0.298,1.269,,,,0.4974,-1.4792
6.720,-0.286,1.228,,,,0.7069,-2.4478
6.740,-0.270,1.170,,,,0.8901,-3.3379
6.760,-0.250,1.093,,,,1.0341,-4.1103
6.780,-0.228,1.004,,,,1.1388,-4.7648
6.800,-0.204,0.902,,,,1.2305,-5.2884
6.820,-0.179,0.790,,,,1.3090,-5.6680
6.840,-0.151,0.672,,,,1.3483,-5.8774
6.860,-0.124,0.553,,,,1.3483,-5.9167
6.880,-0.097,0.434,,,,1.3090,-5.8250
6.900,-0.071,0.319,,,,1.2435,-5.6025
6.920,-0.047,0.207,,,,1.1519,-5.2622
6.940,-0.025,0.107,,,,1.0341,-4.8040
6.960,-0.005,0.014,,,,0.8901,-4.2412
6.980,0.011,-0.064,,,,0.7199,-3.5997
7.000,0.024,-0.130,,,,0.5367,-2.8929
7.020,0.033,-0.181,,,,0.3403,-2.1337
7.040,0.038,-0.217,0.1751,,,0.1309,-1.3221
7.060,0.038,-0.234,,,,-0.0785,-0.4712
7.080,0.035,-0.236,,,,-0.2880,0.3927
7.100,0.027,-0.218,,,,-0.4974,1.2305
7.120,0.014,-0.185,,,,-0.6807,2.0551
7.140,-0.002,-0.137,,,,-0.8378,2.8405
7.160,-0.019,-0.071,,,,-0.9817,3.5605
7.180,-0.041,0.008,,,,-1.1126,4.1888
7.200,-0.064,0.097,,,,-1.2174,4.7517
7.220,-0.090,0.198,,,,-1.2828,5.2360
7.240,-0.116,0.309,,,,-1.3352,5.6156
7.260,-0.143,0.424,,,,-1.3483,5.8381
7.280,-0.171,0.545,,,,-1.3221,5.9167
7.300,-0.196,0.663,,,,-1.2697,5.8643
7.320,-0.221,0.781,,,,-1.1912,5.6549
7.340,-0.245,0.892,,,,-1.0865,5.3145
7.360,-0.265,0.994,,,,-0.9425,4.8040
7.380,-0.283,1.087,,,,-0.7723,4.1626
7.400,-0.297,1.162,,,,-0.5760,3.4034
7.420,-0.306,1.224,,,,-0.3665,2.5395
7.440,-0.311,1.266,,,,-0.1571,1.5839
7.460,-0.313,1.288,,1.2500,1.2514,0.0524,0.5629
7.480,-0.309,1.288,,,,0.2618,-0.4581
7.500,-0.302,1.269,,,,0.4712,-1.4530
7.520,-0.291,1.230,,,,0.6676,-2.4086
7.540,-0.275,1.172,,,,0.8508,-3.2987
7.560,-0.256,1.096,,,,1.0079,-4.0841
7.580,-0.234,1.007,,,,1.1257,-4.7386
7.600,-0.210,0.905,,,,1.2174,-5.2491
7.620,-0.185,0.795,,,,1.2828,-5.6287
7.640,-0.159,0.679,,,,1.3221,-5.8512
7.660,-0.132,0.558,,,,1.3352,-5.9167
7.680,-0.105,0.440,,,,1.3090,-5.8250
7.700,-0.079,0.324,,,,1.2566,-5.6025
7.720,-0.055,0.214,,,,1.1650,-5.2753
7.740,-0.031,0.112,,,,1.0472,-4.8302
7.760,-0.013,0.019,,,,0.9032,-4.2804
7.780,0.005,-0.061,,,,0.7330,-3.6390
7.800,0.017,-0.127,,,,0.5498,-2.9322
7.820,0.027,-0.179,,,,0.3534,-2.1729
7.840,0.031,-0.215,,,,0.1571,-1.3614
7.860,0.033,-0.234,0.1629,,,-0.0524,-0.5236
7.880,0.030,-0.236,,,,-0.2618,0.3403
7.900,0.022,-0.221,,,,-0.4581,1.1912
7.920,0.011,-0.187,,,,-0.6414,2.0159
7.940,-0.003,-0.140,,,,-0.8116,2.7882
7.960,-0.022,-0.075,,,,-0.9687,3.4950
7.980,-0.042,0.002,,,,-1.0996,4.1495
8.000,-0.066,0.091,,,,-1.1912,4.7255
8.020,-0.091,0.192,,,,-1.2566,5.2098
8.040,-0.116,0.302,,,,-1.2959,5.5894
8.060,-0.143,0.416,,,,-1.3221,5.8381
8.080,-0.170,0.537,,,,-1.3090,5.9429
8.100,-0.196,0.657,,,,-1.2566,5.8905
8.120,-0.220,0.774,,,,-1.1650,5.6811
8.140,-0.243,0.886,,,,-1.0472,5.3276
8.160,-0.262,0.990,,,,-0.9163,4.8171
8.180,-0.280,1.081,,,,-0.7592,4.2019
8.200,-0.294,1.158,,,,-0.5760,3.4688
8.220,-0.303,1.222,,,,-0.3665,2.6049
8.240,-0.308,1.264,,,,-0.1571,1.6362
8.260,-0.309,1.286,,,,0.0524,0.6152
8.280,-0.306,1.290,,1.2195,1.2500,0.2618,-0.3927
8.300,-0.298,1.271,,,,0.4712,-1.4006
8.320,-0.287,1.233,,,,0.6676,-2.3693
8.340,-0.272,1.175,,,,0.8508,-3.2594
8.360,-0.253,1.101,,,,1.0079,-4.0448
8.380,-0.231,1.012,,,,1.1257,-4.6993
8.400,-0.207,0.911,,,,1.2174,-5.2229
8.420,-0.182,0.801,,,,1.2828,-5.6025
8.440,-0.156,0.685,,,,1.3221,-5.8512
8.460,-0.129,0.565,,,,1.3352,-5.9429
8.480,-0.102,0.445,,,,1.3090,-5.8643
8.500,-0.075,0.328,,,,1.2435,-5.6418
8.520,-0.052,0.218,,,,1.1519,-5.3014
8.540,-0.030,0.115,,,,1.0341,-4.8564
8.560,-0.009,0.022,,,,0.9032,-4.3066
8.580,0.006,-0.058,,,,0.7461,-3.6652
8.600,0.020,-0.126,,,,0.5629,-2.9583
8.620,0.030,-0.178,,,,0.3534,-2.1991
8.640,0.035,-0.214,0.1714,,,0.1309,-1.3875
8.660,0.035,-0.234,,,,-0.0654,-0.5498
8.680,0.031,-0.236,,,,-0.2618,0.3142
8.700,0.025,-0.221,,,,-0.4581,1.1650
8.720,0.013,-0.188,,,,-0.6545,1.9766
8.740,-0.002,-0.141,,,,-0.8247,2.7489
8.760,-0.020,-0.079,,,,-0.9687,3.4688
8.780,-0.041,-0.002,,,,-1.0996,4.1233
8.800,-0.064,0.088,,,,-1.2043,4.6993
